Sample0	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99
Gene1	0.822629654433118	0.558953425686264	0.529689502965807	0.38185375275798	0.665130007879994	0.878546497961988	0.678416641817713	0.636491910775369	0.372166096723381	0.0843375773883243	0.838172379396044	0.403294773656355	0.618803305903696	0.264176058050692	0.0521735353821314	0.639296132628393	0.42985176330989	0.228328211668618	0.690894234618812	0.200601270733867	0.454105936333276	0.189468244397286	0.35959665978841	0.596603202490034	0.938545014869181	0.668807320777977	0.244110086499759	0.824826541360276	0.364618259872651	0.143064247908763	0.512453523663257	0.499736927531763	0.576312328357426	0.459312087223492	0.568582993454652	0.531775719220954	0.412464783616928	0.403509144156989	0.795690716600449	0.402482982842066	0.332710381161576	0.220682730500182	0.566809597887527	0.524853824970805	0.834766682479686	0.680863670918479	0.802976793788039	0.462899279876292	0.416233314182646	0.661607347966509	0.587765679231044	0.447159658021616	0.89385001685566	0.0438013242217358	0.855132428914079	0.550647545975394	0.545800059011998	0.848038309340166	0.604812852838474	0.0328259951346956	0.303117985984736	0.565200191950148	0.860057062449303	0.619898415333608	0.199473193265864	0.703913399821494	0.591783810700142	0.437173963551623	0.475127721263568	0.496188964821382	0.65088589338751	0.473494523988411	0.602627500139989	0.938442594847601	0.242464444496535	0.938396018363684	0.253670207190969	0.750548536353256	0.14086116769614	0.641345487284473	0.11340441557253	0.517129758159807	0.782166830260082	0.31295169120804	0.623029576630062	0.581273165252588	0.601374535642379	0.817379891628506	0.831713927417138	0.796905442429377	0.409615925374981	0.552283830539697	0.158798210616219	0.126722399386991	0.62487453435676	0.26786251444861	0.424699611171775	0.507946368891338	0.84307675249124	0.938056445157445
Gene2	0.327123092789412	0.557952648056996	0.758565008526603	0.233020173922613	0.639203957310834	0.43903153064627	0.674158585618387	0.0216145911789869	0.802568963245792	0.628584443801276	0.242720641011876	0.783900106761653	0.672113641216484	0.529128101573566	0.814367038001133	0.536777022076592	0.564306483969308	0.231789216339504	0.542712576384549	0.590163646710713	0.39954687616008	0.69504805865276	0.823243018343065	0.682587779030209	0.802064066140216	0.34784672627794	0.821551203973168	0.677689233696102	0.574606127244956	0.0987390044299099	0.95853216191566	0.416698012024426	0.312065998493867	0.385435877247919	0.940944692711609	0.689412469121511	0.354316078598099	0.719152828894501	0.108327770921048	0.742125968438463	0.96788286653742	0.529394091152546	0.486701304489179	0.532719854715914	0.486069224431363	0.811045318451179	0.661906460741713	0.752501073223671	0.408987756015341	0.876027544709313	0.16784109234876	0.203541467863316	0.585496793248059	0.119739366231099	0.18199204648193	0.696194660762412	0.75984948179569	0.213330133689125	0.402542692644271	0.302061204936579	0.328849139736739	0.337391603409076	0.800025839356231	0.540126429236515	0.34971124844443	0.703627736287792	0.247720766113672	0.632859661483284	0.510647252670402	0.369584698125443	0.625277394009254	0.571462835908755	0.43637496405103	0.168826208938662	0.755088994310448	0.423102101895407	0.291450796340556	0.409732635471028	0.3367563347535	0.553036150945973	0.556935036577094	0.584361442338367	0.786995574944016	0.346915103297272	0.30390275043928	0.240572022544633	0.756456363166558	0.63663482300823	0.158520911976699	0.197017506970221	0.640131946793137	0.365072075750559	0.577925503398188	0.558705699343713	0.220645556698153	0.87299698380548	0.331098528037674	0.482028098418953	0.663874611259826	0.227140316536914
Gene3	0.477762796522434	0.0407041206587233	0.55503794933288	0.360378912819409	0.658979039895275	0.194910440840286	0.397911288210477	0.484488989860637	0.652067814114711	0.119809917998254	0.40588914953239	0.550449101759308	0.387717075677934	0.321398626752291	0.585887261903145	0.366906188136916	0.738027441712568	0.597457358362234	0.306581608914053	0.564629793110698	0.604728482067524	0.223592475783434	0.0952024173037716	0.645754807377277	0.504265267029239	0.133914230753858	0.447679655365172	0.333774019714763	0.252059601963903	0.503237214827975	0.548505276364541	0.0796253346993946	0.379203309513234	-0.0160234358805989	0.285760471980299	0.151421249141077	0.586558744400711	0.363058313035262	0.122627000105632	0.437570275737787	0.3564079484845	0.316127538900122	0.267221365356832	0.557940733796642	0.766717365439999	0.688378999709043	0.117874645798559	0.317355266496429	0.605915093237915	0.909648235451302	0.612499839612926	0.113226656656261	0.2287216379387	0.428741108433571	0.68682633431114	0.792919981533801	0.65229593721895	0.410728518290587	0.932640439653467	0.687313792564442	0.18832843015198	0.162984434737544	0.779450603444023	0.607265080343413	0.269182181145955	0.727220373480005	0.622685881282146	0.80791332712624	0.235468460794779	0.151486015433	0.177626775368403	0.787623314706743	0.916316795770264	0.306842698415466	0.834976562678636	0.281565967797077	0.42528376807558	0.766575292182277	0.739147216974497	0.358332307309729	0.419064416654221	0.617459585880524	0.432153514681731	0.606736886498017	0.451997516264603	0.299097962915393	0.7477104681257	0.603346775482813	0.495910506238093	0.870138875440352	0.345504477526608	0.0881263728005265	0.613900475190496	0.324307827884302	0.381465095135545	0.170143932730415	0.513795808683332	0.265185411742686	0.558104459535003	0.424307628637579
Gene4	0.618072090483077	0.475943650141335	0.033490974638855	0.326579004506693	0.445917298209109	0.497664796563993	0.712888006002941	0.549692576556028	0.983551675487681	0.372230655789179	0.632790642039256	0.315991289809279	0.522745756556447	0.361456260815613	0.653514631867966	0.47772373274909	0.603715239444775	0.606648001999638	0.775970550018035	0.3470846600962	0.683048042484019	0.750992082556921	0.351741689312413	0.3623149141153	0.211059623430786	0.123409124581344	0.461695146118511	0.589251168699183	0.73273062633226	0.805923609688371	0.501494233976465	0.567487114431212	0.465802205061471	0.5152578181582	0.476975525756435	0.464023908937691	0.507509840369566	0.798904897642516	0.500392906315577	0.191045839144681	0.0758963286847628	0.625303145232155	0.033494892438429	0.726202513544103	0.554983073774415	0.435354678020314	0.358691924984659	0.53919619804652	0.790103951511575	0.564622216143586	0.628730882986305	0.330544014531312	0.270470262542654	0.127100918312304	0.736920654531903	0.828957700725379	0.617219812406159	0.196169144561972	0.197965952725927	0.18194944836677	0.803255509155897	0.306360802553742	0.25914399750405	0.736358155103071	0.399065339739552	0.42682854198506	0.334878420421616	0.252715671499477	0.711334697720076	0.361550745181807	0.764271932638254	0.00869691318581114	0.818595021292915	0.460718384280936	0.427274996596728	0.49898700687848	0.95208942821246	0.295102683014126	0.376154900325171	0.205883585251761	0.51494029989231	0.397507579199599	0.519743310784889	0.308864199425764	0.642840525983405	0.580981826968517	0.0919235637976701	0.229589840102253	0.797664885329247	0.393480503629108	0.598481301223995	0.672290643457435	0.208352560214701	0.600934684152053	0.468371169923108	0.561825788216321	0.57732183522284	0.376530683636791	0.654725366187766	0.56988963395597
Gene5	0.199353218639617	0.498624258731256	0.824995411197471	0.733261454716923	0.654715033312153	0.23287785268222	0.129959430290387	0.848325481579751	0.57538167927973	0.434257474645631	0.724734839768112	0.560602724222499	0.408858623238053	0.830076161761289	0.58264962193753	0.716013639309134	0.428315374613664	0.484461128216608	0.323224412308362	0.407205202403214	0.334563476185938	0.519927906309263	0.255364480704245	0.829942834536449	0.748843415508357	0.508769982707945	0.387471548660087	0.196378246176043	0.427154787164242	0.512560246972349	0.729887901125254	0.51675529068725	0.722514505551514	0.631845953319803	0.192401514754885	0.570034980226935	0.633724243306617	0.958679436768071	0.7626022593413	0.481291757600067	0.234406790367129	0.77786335084729	0.717876731816401	0.165998816143273	0.0997437627013272	0.807826661839854	0.64246247750325	0.15204295132993	0.263164681077365	1.01153993093311	0.858751197371884	0.426945800469913	0.654051758303002	0.972537191085473	0.0529669499500848	0.453209906386361	0.416541366624246	0.736433104949156	0.805265521791468	0.836158168703025	0.571342244502808	0.0115723275236681	0.13191307147512	0.689800719524936	0.342759483780602	0.820818609521265	0.718904565663057	0.099792324529394	0.583809537725914	0.119503207225011	0.812653334934755	0.458679628743992	0.641089240447324	0.946609591694469	0.149643610654467	0.960476851900667	0.267210336442565	0.167829369584566	0.676267744478348	0.78400178188915	0.609003591983439	0.222019845096757	0.464677985866981	0.867334745141272	0.630139793492258	0.640265055600757	0.14354374207663	0.417801846185347	0.280842326766348	0.00625423305200112	0.721470400544425	0.304504054213686	0.449493145528009	0.520946670414511	0.601176374151172	0.744815662447825	0.771275163244309	0.315748054531857	0.636759960015734	0.0829663697010093
Gene6	0.581259455206685	0.396716542085851	0.0716426313059628	0.74780829279324	0.267921399502462	0.405656427685296	0.301307082256734	0.360902731797544	0.0971561221560701	0.428551123163634	0.823618954045233	0.0787928494866451	0.470522701183124	0.49523685750399	0.176894548862431	0.767641538140628	0.365802041508796	0.464787756089114	0.703730426354816	0.51517085726894	0.626981420784627	0.541441212609157	0.702864115080994	0.606000209510483	0.611141172502853	0.712088070006849	0.478785717505513	0.416984897419597	0.548581103507098	0.723451614983696	0.42964581957578	0.515330636456921	0.234030390571357	0.714746748461541	0.152407082029925	0.734119864779896	0.242519925920658	0.505776085111864	0.512266218046654	0.786330627497468	0.57699755155135	0.369711142675983	0.735644313664373	0.643883077228218	0.432977920697462	0.269604011707272	0.470846059486893	0.326389191888402	0.385865836769175	0.214420522762673	0.762678899476841	0.359402667953559	0.725531546436094	0.53672430966023	0.344896211960569	0.794410430437838	0.424290496756817	0.216083256551494	0.278474036593216	0.609984278423155	0.275328664691072	0.368004509463383	0.616701743516848	0.45646288597545	0.454926082625179	0.636130124737184	0.302520704469161	0.470154195146802	0.270287257639785	0.424813986894368	0.584345220146821	0.306014326537318	0.203874675677037	0.176877460264181	0.433322927025238	0.808830232528074	0.339894979874758	0.792985905094094	0.335693909798147	0.394220745945674	0.468520076964512	0.806853055122596	0.560084847995768	0.461474136474753	0.125479474988196	0.93754931165049	0.686730556882889	0.240597876916631	0.698014858436657	0.595160770715664	0.710599856169865	0.722747815577937	0.401582773708666	0.321411750256123	0.808258604322762	0.75381090632221	0.659978335114588	0.397622531320743	0.551151632169437	0.538291064539143
Gene7	0.817607113476696	0.659213235161312	0.581566254479993	0.456418459879917	0.696580246061539	0.974401878752102	0.353891269631763	0.156578998707671	0.123220672285882	0.867630845047924	0.611356513587507	0.663301338595145	0.618156896172877	0.206269988433748	0.266335408497382	0.823745942367973	0.267060860972342	0.59072123742279	0.709453349933751	0.387537696813479	0.161050671801885	0.470618507957719	0.112081423712175	0.254802484121733	0.508958965466325	0.354730533737728	0.943760417504523	0.280097966702141	0.552073440786672	0.188244780031445	0.959059577761909	0.24769803168529	0.135986081824836	0.673550958870612	0.57546384150165	0.190589160307353	0.44058776352737	0.275742932776521	0.476774871044386	0.381887656494117	0.456016267949266	0.542809094136721	0.405499396286069	0.414587607729563	0.196541652881011	0.866963912012306	0.414373771050643	0.274582935771909	0.449099978506005	0.620026894344209	0.565873770170258	0.439799266260418	0.705532460706487	0.410304003690483	0.174647425797292	0.432820541802863	0.640416865507207	0.411345495446538	0.431779964777319	0.138665478182817	0.348765298287722	0.311485531864934	0.932884733793402	0.42764809919329	0.792964460566994	0.280299696271445	0.437521580966041	0.57200591895803	0.855789257533575	0.354100857166887	0.525609932942428	0.19062495716942	0.321377248953953	0.93580509847572	0.371422334492062	0.277497877983943	0.0997058579176169	0.441067686767832	0.470545154046478	0.714242165748082	0.337909717972171	0.517864010609836	0.404575717663704	0.474208584160548	0.629343415386371	0.770945260001364	0.239186909209651	0.0569941869038421	0.503045265135631	0.456340747176122	0.317745075885246	0.488636404801171	0.480944900020932	0.766313435168285	0.40238773708232	0.561983561675746	0.569381981948195	0.55058083168638	0.388040380016773	0.481336780987509
Gene8	0.0783509090178419	0.706354692147966	0.129928661215145	0.57761976602382	0.381474637104614	0.21921877863123	0.429393404849775	0.204934394790482	0.35508342996697	-0.000690904348060281	0.682715477721863	0.434387414976429	0.528707878837818	1.00045988739797	0.246937315453619	0.508835014086267	0.73661989713257	0.257046322121825	0.771830918360929	0.51377796765325	0.468709876874529	0.567933461224711	0.255305300990386	0.787215345224511	0.496415250623678	0.447586782203067	0.805632546923015	0.313614854945748	0.777016738347249	0.405093705838026	0.686893960844624	0.75218567328308	0.773030650197369	0.718599452034647	-0.0812152845866071	0.020818918137521	0.66295464852085	0.249892088944368	0.752674992422472	0.126259986465619	0.791143175591921	0.190007969835157	0.375559815680776	0.847550061196156	0.23978921133292	0.531731766329463	0.337433627942049	0.47195377280312	0.21649668749089	0.655607473476819	0.562545061190089	0.595323861942778	0.33907339594611	0.610782427941788	0.658490676062546	0.049681662297836	0.335970819081095	0.589350459197879	0.384107326623506	0.459470497511105	0.811138430446353	0.588080739176266	0.682420024979427	0.463511331088794	0.393723042883984	0.423900013591008	0.211651855829424	0.473179036039636	0.362240530481457	0.891254300122261	0.36778339089574	0.363233399139152	0.514609169623647	0.695162540887104	0.740727769458289	0.664918973565704	0.499131042845004	0.499249385924648	0.0749094727679018	0.399664209672119	0.467537622514254	0.854916643831707	0.395439397865777	0.636439922110852	0.472860480313782	0.652742196880009	0.730162393698857	0.661776852581279	0.807529975203609	0.584956432027878	0.0300837203358107	0.323523016185391	0.37176233513114	0.240249394595554	0.634604609423456	0.128272417477741	0.377029703762292	0.68167754758553	0.539478333098661	0.167804087123706
Gene9	0.434552642647688	0.0118348706924088	0.437476119382413	0.770220113194169	0.281881817826713	0.229537295479037	0.326938183660358	0.594844704346951	0.288834874803488	0.851352424361629	0.151522486281763	0.184784891075335	0.146488880332593	0.410090412191436	0.374610819714281	0.744195475891655	0.254466851223416	0.295737303301562	0.948652733616034	0.492607850900564	0.491054504849389	0.456354444929481	0.386449343336787	0.732690563075204	0.863119599300425	0.736407084625179	0.777117046876428	0.751593259178824	0.728980589396719	0.955857264147054	0.780176192759024	0.318334872811433	0.501128243275387	0.640552383784695	0.936327911865297	0.121693426085	0.251455771256629	0.592445904077441	0.895703429330017	0.447649938715662	-0.0243824166924829	0.714713668896675	0.804143166696779	0.365784056021388	0.728690249555621	0.168940034037845	0.481295325673146	0.365056445074357	0.540006921342973	0.870872515606193	0.127897158121263	0.840463014757274	0.0168691149393464	0.187044827059928	0.912607098538266	0.661414635379002	0.481463381441123	0.180176959499623	0.787101653461244	0.212098402565533	0.725595205303219	0.311742081928226	0.613494925762687	0.545116580148626	0.70564370888859	0.598652918274079	0.10963215067455	0.975866760284946	0.669301811855472	0.800469988590811	0.893974641866165	0.891927312959392	0.727276209829072	0.228048481584203	0.703388804662302	0.746228035616504	0.468232968660648	0.28848201188993	0.213939642088153	0.901091639876341	0.18481380637576	0.749058139512198	0.529603295618562	0.655280221652927	0.78921794123256	0.379112744359673	0.25112300805099	0.549776278946415	0.408171317593213	0.0548273043280052	0.119565131628377	0.487303023018645	0.377309545673465	0.511505315628538	0.880797374887827	0.627305809391388	0.190825929365705	0.621910481063258	-0.0601560688043418	0.433885686736466
Gene10	0.337869033923943	0.490454329652404	0.70042754119235	0.366578533776866	0.373491421794733	0.466511886863854	0.508571810449249	0.409516528398146	0.217734179479124	0.478587571404133	0.543570827941224	0.17996541839306	0.470190321646959	0.473355641391936	0.27608612945512	0.595169045235205	0.507983920571456	0.786164720610574	0.227588194044542	0.376391131719409	0.15821260953648	0.589643873444091	0.378841088702775	0.200236657946169	0.290975214898285	0.401405293662356	0.93255435754103	0.447162134357172	0.34069276624812	0.350630431904178	0.36079321488737	0.300182934807724	0.765262679251867	0.486995138224755	0.572123092425945	0.0876619235178279	0.74061282761648	0.237498540870575	0.345181954471431	0.258019342776911	0.250002644395318	0.188741449859008	0.200356954007302	0.747334667322759	0.468274647038676	0.625669284241983	0.99457740527047	0.38800691358981	0.333121253262139	0.669770023537953	0.165816557469908	0.818825676888287	0.28860115002392	0.871060479871919	0.505621434048135	0.466960630070447	0.774435129566316	0.385395447858123	0.415777547679099	0.379689047067138	0.504569446581685	0.712032829988992	0.372580860064596	0.227959490445137	0.858303630302277	0.396195022129216	0.377578754122422	0.509668665118536	0.713404351198345	0.855596151548762	0.597849053243532	0.215467220679846	0.550563333938093	0.370945999034357	0.538165606035856	0.290734202273269	0.248236221219886	0.568065454061305	0.931005256702778	0.652679606889596	0.640459790550499	0.606286876682439	0.208195975568683	0.761327291656532	0.66692311879508	0.757775040101378	0.861504276437329	1.01453394072456	0.209124313957624	0.861795376596919	0.473468292096491	0.524721480226225	0.150030205979538	-0.0123077077541469	0.533890550123978	0.655875229750984	0.725602239289402	0.318909945561474	0.323691961873184	0.381626324854264
